root_id,region,nt_type
720575940604957920,optic_lobe,ach
720575940604962220,optic_lobe,ACH
720575940604965600,optic_lobe,GLUT
720575940604967270,central_complex,GABA
720575940604970430,central_complex,ACH
720575940604979680,optic_lobe,GLUT
720575940604982450,central_complex,ACH
720575940604984800,antennal_lobe,ach
720575940604991660,optic_lobe,ACH
720575940604992480,optic_lobe,ACH
720575940604993760,optic_lobe,GLUT
720575940605000550,central_complex,ACH
720575940605002720,optic_lobe,ACH
720575940605005280,optic_lobe,GABA
720575940605007550,optic_lobe,ACH
720575940605012140,optic_lobe,ACH
720575940605013420,central_complex,ACH
720575940605017260,optic_lobe,ACH
720575940605018540,optic_lobe,ACH
720575940605028320,optic_lobe,ACH
720575940605029250,central_complex,ACH
720575940605032550,central_complex,GLUT
720575940605040300,central_complex,GLUT
720575940605041330,ventral_cord,ACH
720575940605055660,optic_lobe,ACH
720575940605068390,central_complex,GLUT
720575940605072300,optic_lobe,ACH
720575940605076140,optic_lobe,ach
720575940605078560,central_complex,GLUT
720575940605087520,optic_lobe,ACH
720575940605092700,optic_lobe,ACH
720575940605093310,central_complex,ACH
720575940605096550,optic_lobe,ACH
720575940605100320,central_complex,GLUT
720575940605105580,optic_lobe,ACH
720575940605106110,optic_lobe,GABA
720575940605111230,optic_lobe,ACH
720575940605111980,optic_lobe,ACH
720575940605115360,optic_lobe,ACH
720575940605116640,optic_lobe,ACH
720575940605128550,optic_lobe,ACH
720575940605138860,optic_lobe,GLUT
720575940605140070,optic_lobe,ACH
720575940605154080,central_complex,GLUT
720575940605157990,optic_lobe,ACH
720575940605160550,antennal_lobe,ACH
720575940605162720,optic_lobe,ach
720575940605164460,optic_lobe,ACH
720575940605169580,optic_lobe,ACH
720575940605174700,optic_lobe,ACH
720575940605179360,antennal_lobe,GABA
720575940605183660,optic_lobe,ACH
720575940605187970,central_complex,GABA
720575940605191340,optic_lobe,ACH
720575940605197740,optic_lobe,ACH
720575940605204140,optic_lobe,ACH
720575940605204960,optic_lobe,ach
720575940605212640,optic_lobe,ACH
720575940605213100,antennal_lobe,ach
720575940605218220,central_complex,GLUT
720575940605219500,antennal_lobe,ach
720575940605223340,optic_lobe,ACH
720575940605225900,optic_lobe,ACH
720575940605244960,optic_lobe,ACH
720575940605246850,central_complex,ACH
720575940605248130,central_complex,GABA
720575940605254880,optic_lobe,ACH
720575940605255270,optic_lobe,ACH
720575940605262880,optic_lobe,ACH
720575940605265120,antennal_lobe,ACH
720575940605268140,optic_lobe,ACH
720575940605274470,optic_lobe,GABA
720575940605278380,optic_lobe,GABA
720575940605279660,optic_lobe,ACH
720575940605280870,optic_lobe,ACH
720575940605282220,optic_lobe,ACH
720575940605286060,optic_lobe,ACH
720575940605288480,optic_lobe,ACH
720575940605289900,optic_lobe,GABA
720575940605291040,antennal_lobe,ach
720575940605291650,optic_lobe,ach
720575940605292460,optic_lobe,ACH
720575940605300140,ventral_cord,ach
720575940605305010,ventral_cord,ach
720575940605317600,optic_lobe,ach
720575940605318880,optic_lobe,ACH
720575940605319340,optic_lobe,ACH
720575940605321760,optic_lobe,GLUT
720575940605322370,central_complex,ACH
720575940605328230,antennal_lobe,ach
720575940605332070,optic_lobe,ACH
720575940605335910,optic_lobe,ACH
720575940605335980,antennal_lobe,ach
720575940605338290,central_complex,ACH
720575940605345410,optic_lobe,ACH
720575940605353760,optic_lobe,ACH
720575940605362610,central_complex,ACH
720575940605374910,optic_lobe,ACH
720575940605376800,central_complex,GABA
720575940605386930,optic_lobe,ACH
720575940605389740,optic_lobe,ach
720575940605392160,optic_lobe,ACH
720575940605399520,antennal_lobe,ach
720575940605403360,optic_lobe,ACH
720575940605408870,optic_lobe,ACH
720575940605410220,optic_lobe,GLUT
720575940605411040,optic_lobe,ACH
720575940605421280,optic_lobe,ach
720575940605421670,central_complex,ACH
720575940605422560,optic_lobe,ACH
720575940605426110,antennal_lobe,ach
720575940605429950,optic_lobe,ACH
720575940605431840,central_complex,ACH
720575940605435010,central_complex,ACH
720575940605442220,optic_lobe,GABA
720575940605443500,optic_lobe,ACH
720575940605445600,optic_lobe,ACH
720575940605446590,optic_lobe,ACH
720575940605451180,optic_lobe,GABA
720575940605468640,optic_lobe,GABA
720575940605470310,optic_lobe,ACH
720575940605478590,optic_lobe,ACH
720575940605479870,optic_lobe,ACH
720575940605487550,optic_lobe,ACH
720575940605490790,optic_lobe,GABA
720575940605492670,optic_lobe,ACH
720575940605494240,optic_lobe,ACH
720575940605494560,central_complex,GABA
720575940605505760,optic_lobe,GLUT
720575940605508320,optic_lobe,ACH
720575940605511870,optic_lobe,ACH
720575940605524960,optic_lobe,ACH
720575940605527910,optic_lobe,ACH
720575940605538220,optic_lobe,ach
720575940605540030,optic_lobe,GABA
720575940605541920,central_complex,ACH
720575940605544370,central_complex,ACH
720575940605550950,central_complex,ACH
720575940605564640,optic_lobe,ACH
720575940605566310,optic_lobe,ACH
720575940605571040,antennal_lobe,ACH
720575940605575090,optic_lobe,ACH
720575940605579110,antennal_lobe,SER
720575940605580000,optic_lobe,GABA
720575940605591730,central_complex,ach
720575940605604030,central_complex,GLUT
720575940605604780,optic_lobe,GABA
720575940605608160,antennal_lobe,ach
720575940605609830,optic_lobe,ACH
720575940605612000,optic_lobe,ACH
720575940605618720,optic_lobe,ACH
720575940605620670,central_complex,ACH
720575940605630850,optic_lobe,ACH
720575940605630910,optic_lobe,ach
720575940605632190,optic_lobe,ACH
720575940605634220,antennal_lobe,ach
720575940605637920,optic_lobe,GLUT
720575940605639810,central_complex,ACH
720575940605640160,optic_lobe,ACH
720575940605641830,central_complex,ACH
720575940605644390,optic_lobe,ACH
720575940605649440,optic_lobe,ACH
720575940605652140,optic_lobe,GLUT
720575940605653420,optic_lobe,GLUT
720575940605654700,optic_lobe,ACH
720575940605655840,optic_lobe,ACH
720575940605658540,optic_lobe,ACH
720575940605660350,optic_lobe,GLUT
720575940605676210,central_complex,ACH
720575940605678270,optic_lobe,ACH
720575940605680300,antennal_lobe,ACH
720575940605681440,central_complex,ACH
720575940605682720,optic_lobe,GABA
720575940605682790,antennal_lobe,ACH
720575940605684140,optic_lobe,ACH
720575940605685420,optic_lobe,GLUT
720575940605694240,central_complex,ACH
720575940605698080,central_complex,ACH
720575940605698220,optic_lobe,GABA
720575940605700780,optic_lobe,ACH
720575940605702590,central_complex,ACH
720575940605704550,central_complex,GABA
720575940605705650,central_complex,ACH
720575940605705830,optic_lobe,GABA
720575940605706430,optic_lobe,GABA
720575940605707710,central_complex,ACH
720575940605709740,optic_lobe,ACH
720575940605716670,optic_lobe,ach
720575940605725920,optic_lobe,GABA
720575940605740460,antennal_lobe,ach
720575940605748960,antennal_lobe,ach
720575940605749950,optic_lobe,ACH
720575940605763040,optic_lobe,ACH
720575940605764030,optic_lobe,ACH
720575940605764320,antennal_lobe,ach
720575940605771040,optic_lobe,ACH
720575940605773740,optic_lobe,ACH
720575940605777120,antennal_lobe,ach
720575940605779680,antennal_lobe,ach
720575940605780140,central_complex,ACH
720575940605783840,optic_lobe,ACH
720575940605793470,optic_lobe,GABA
720575940605800160,optic_lobe,ACH
720575940605804390,optic_lobe,ACH
720575940605804990,optic_lobe,ACH
720575940605805600,optic_lobe,ACH
720575940605805670,optic_lobe,ACH
720575940605807840,optic_lobe,ACH
720575940605809580,optic_lobe,GABA
720575940605810720,optic_lobe,ACH
720575940605813350,optic_lobe,ach
720575940605819680,optic_lobe,GLUT
720575940605829250,optic_lobe,GABA
720575940605838560,optic_lobe,ach
720575940605838950,optic_lobe,ACH
720575940605842400,central_complex,GLUT
720575940605842780,optic_lobe,ACH
720575940605851680,optic_lobe,GABA
720575940605857470,optic_lobe,ACH
720575940605860320,optic_lobe,ACH
720575940605860710,antennal_lobe,ach
720575940605861310,optic_lobe,GABA
720575940605865900,optic_lobe,ach
720575940605867040,antennal_lobe,SER
720575940605868930,optic_lobe,GABA
720575940605868990,optic_lobe,GABA
720575940605870560,central_complex,GLUT
720575940605876140,optic_lobe,ACH
720575940605882470,optic_lobe,ACH
720575940605884350,optic_lobe,ACH
720575940605886240,optic_lobe,GABA
720575940605888870,optic_lobe,ACH
720575940605889760,central_complex,ACH
720575940605891040,central_complex,DA
720575940605891430,optic_lobe,ACH
720575940605895270,optic_lobe,ACH
720575940605897760,optic_lobe,ACH
720575940605897900,antennal_lobe,ach
720575940605901740,optic_lobe,ACH
720575940605903490,optic_lobe,ACH
720575940605914470,optic_lobe,ACH
720575940605916640,ventral_cord,ACH
720575940605917030,optic_lobe,ACH
720575940605920480,optic_lobe,ACH
720575940605924320,optic_lobe,ACH
720575940605925600,central_complex,ACH
720575940605926590,optic_lobe,ACH
720575940605931180,optic_lobe,ach
720575940605932320,optic_lobe,ACH
720575940605937330,optic_lobe,ACH
720575940605938110,optic_lobe,ACH
720575940605940000,optic_lobe,ACH
720575940605943840,optic_lobe,GABA
720575940605943910,optic_lobe,GLUT
720575940605961830,optic_lobe,ACH
720575940605962370,optic_lobe,ACH
720575940605971330,central_complex,ACH
720575940605974630,optic_lobe,GABA
720575940605978470,optic_lobe,ACH
720575940605981100,antennal_lobe,ACH
720575940605983660,antennal_lobe,SER
720575940605984800,optic_lobe,GLUT
720575940605990590,optic_lobe,ach
720575940605995710,antennal_lobe,ach
720575940606005170,optic_lobe,ACH
720575940606007280,antennal_lobe,ach
720575940606009120,optic_lobe,ACH
720575940606011570,optic_lobe,ACH
720575940606014310,optic_lobe,ACH
720575940606018690,central_complex,ACH
720575940606028210,central_complex,ACH
720575940606034860,optic_lobe,ACH
720575940606039980,optic_lobe,GLUT
720575940606046130,optic_lobe,GLUT
720575940606046240,optic_lobe,ACH
720575940606047660,optic_lobe,ACH
720575940606050220,optic_lobe,ACH
